0,180,0
1,180,0
2,180,0
3,180,0
4,180,0
5,180,0
6,180,0
7,180,0
8,180,0
9,180,0
10,180,40
11,180,0
12,180,0
13,180,0
14,180,0
15,180,0
16,180,0
17,180,0
18,180,0
19,180,0
20,180,0
21,180,0
22,180,1500
23,180,40
24,180,0
25,180,0
26,180,0
27,180,0
28,180,0
29,180,0
30,180,0
31,180,0
32,180,0
33,180,0
34,180,40
35,180,0
36,180,0
37,180,0
38,180,0
39,180,40
40,180,0
41,180,0
42,180,0
43,180,0
44,180,0
45,180,0
46,180,0
47,180,0
48,180,0
49,180,40
50,180,1500
51,180,0
52,180,40
53,180,0
54,180,0
55,180,0
56,180,0
57,180,0
58,180,0
59,180,0
60,180,0
61,180,1500
62,180,0
63,180,0
64,180,0
65,180,0
66,180,0
67,180,0
68,180,0
69,180,0
70,180,0
71,180,0
72,180,1500
73,180,0
74,180,40
75,180,0
76,180,0
77,180,0
78,180,1500
79,180,0
80,180,0
81,180,40
82,180,40
83,180,0
84,180,0
85,180,0
86,180,0
87,180,0
88,180,0
89,180,0
90,180,0
91,180,1500
92,180,0
93,180,0
94,180,0
95,180,0
96,180,0
97,180,0
98,180,0
99,180,0
100,180,0
101,180,0
102,180,0
103,180,0
104,180,0
105,180,0
106,180,0
107,180,0
108,180,0
109,180,0
110,180,0
111,180,0
112,180,0
113,180,1500
114,180,40
115,180,0
116,180,0
117,180,0
118,180,0
119,180,1500
120,180,1500
121,180,0
122,180,0
123,180,0
124,180,0
125,180,0
126,180,0
127,180,0
128,180,0
129,180,0
130,180,0
131,180,0
132,180,0
133,180,0
134,180,0
135,180,40
136,180,1500
137,180,0
138,180,0
139,180,1500
140,180,0
141,180,0
142,180,0
143,180,0
144,180,40
145,180,0
146,180,0
147,180,0
148,180,0
149,180,40
150,180,0
151,180,0
152,180,0
153,180,0
154,180,0
155,180,1500
156,180,0
157,180,0
158,180,0
159,180,0
160,180,0
161,180,0
162,180,40
163,180,0
164,180,40
165,180,40
166,180,0
167,180,0
168,180,0
169,180,0
170,180,0
171,180,0
172,180,0
173,180,0
174,180,0
175,180,0
176,180,0
177,180,0
178,180,0
179,180,1500
180,180,0
181,180,0
182,180,0
183,180,40
184,180,0
185,180,0
186,180,0
187,180,0
188,180,0
189,180,0
190,180,0
191,180,0
192,180,0
193,180,40
194,180,0
195,180,0
196,180,0
197,180,0
198,180,0
199,180,0
200,180,0
201,180,0
202,180,40
203,180,0
204,180,0
205,180,1500
206,180,40
207,180,0
208,180,0
209,180,0
210,180,0
211,180,0
212,180,0
213,180,0
214,180,0
215,180,0
216,180,0
217,180,0
218,180,0
219,180,0
220,180,0
221,180,0
222,180,0
223,180,0
224,180,0
225,180,0
226,180,0
227,180,0
228,180,0
229,180,0
230,180,1500
231,180,40
232,180,0
233,180,0
234,180,0
235,180,0
236,180,0
237,180,0
238,180,0
239,180,0
240,180,0
241,180,0
242,180,0
243,180,0
244,180,0
245,180,0
246,180,0
247,180,0
248,180,0
249,180,0
250,180,1500
251,180,0
252,180,0
253,180,0
254,180,0
255,180,0
256,180,0
257,180,0
258,180,0
259,180,0
260,180,40
261,180,0
262,180,0
263,180,0
264,180,0
265,180,1500
266,180,0
267,180,0
268,180,40
269,180,40
270,180,0
271,180,0
272,180,0
273,180,0
274,180,1500
275,180,0
276,180,0
277,180,0
278,180,1500
279,180,0
